PolicyID,UnderwrittenCoverID,PolicyStartDate,Province,VehicleType,Gender,Age,VehicleAge,CubicCapacity,PostalCode,PreviousClaims,TotalPremium,TotalClaims,LossRatio,HasClaim
100001,COMP+,2020-01-01,KZN,SUV,Female,34,21,3000,5562,1,7875,768,0.09752380952380953,1
100002,TPFT,2020-01-02,KZN,Hatchback,Male,67,23,1800,4844,0,12045,2370,0.19676214196762143,1
100003,COMP,2020-01-03,Free State,Sedan,Male,49,11,3000,1595,2,4852,463,0.09542456718878813,1
100004,COMP+,2020-01-04,Eastern Cape,Sedan,Female,63,24,3500,1138,0,3000,1200,0.4,1
100005,COMP+,2020-01-05,Western Cape,SUV,Male,74,2,2500,2014,3,14731,143,0.009707419727106103,1
100006,TPFT,2020-01-06,Western Cape,Hatchback,Female,24,20,3000,1241,3,14938,0,0.0,0
100007,COMP,2020-01-07,Eastern Cape,SUV,Female,56,24,3500,3363,3,13771,1423,0.10333309127877424,1
100008,COMP,2020-01-08,Gauteng,Sedan,Female,31,23,2500,7810,2,7995,4099,0.5126954346466541,1
100009,COMP+,2020-01-09,KZN,Bakkie,Male,73,5,2200,1732,0,10404,3945,0.37918108419838525,1
100010,TPO,2020-01-10,Eastern Cape,Hatchback,Female,32,22,1200,1134,1,8188,0,0.0,0
100011,COMP+,2020-01-11,Western Cape,Hatchback,Male,61,24,1800,4259,3,8913,0,0.0,0
100012,COMP+,2020-01-12,Eastern Cape,Coupe,Female,29,15,2200,4761,3,14071,4991,0.3547011584109161,1
100013,COMP+,2020-01-13,Gauteng,Sedan,Male,25,12,1800,3626,0,7294,3414,0.46805593638607074,1
100014,COMP+,2020-01-14,Gauteng,Sedan,Male,33,14,3000,4140,1,11726,1586,0.1352549889135255,1
100015,TPFT,2020-01-15,Free State,Bakkie,Female,58,11,2500,3486,2,12715,1443,0.11348800629178137,1
100016,COMP,2020-01-16,Eastern Cape,Hatchback,Male,51,21,1200,3124,3,11391,1480,0.1299271354578176,1
100017,TPFT,2020-01-17,Western Cape,Sedan,Male,63,9,3000,7543,3,12816,0,0.0,0
100018,TPFT,2020-01-18,Gauteng,Sedan,Female,41,20,1200,7517,3,14654,0,0.0,0
100019,TPFT,2020-01-19,Free State,Bakkie,Male,73,8,1600,8179,1,10933,2909,0.26607518521906154,1
100020,COMP+,2020-01-20,KZN,Sedan,Female,46,12,2200,2510,3,10786,0,0.0,0
100021,TPO,2020-01-21,Free State,SUV,Male,33,3,2500,2818,1,10352,2275,0.21976429675425038,1
100022,COMP,2020-01-22,Western Cape,SUV,Female,22,21,2500,5853,3,13194,0,0.0,0
100023,TPO,2020-01-23,Western Cape,SUV,Female,22,15,2500,3796,3,9849,1293,0.13128236369174537,1
100024,TPFT,2020-01-24,Gauteng,Bakkie,Male,69,8,3000,7907,1,18702,0,0.0,0
100025,TPFT,2020-01-25,KZN,SUV,Male,47,7,2000,5512,1,13626,7594,0.5573168941729048,1
100026,TPO,2020-01-26,Western Cape,Bakkie,Female,70,17,1800,5302,2,12123,0,0.0,0
100027,TPO,2020-01-27,Western Cape,SUV,Male,67,12,1200,7484,0,8201,3765,0.4590903548347762,1
100028,TPO,2020-01-28,Eastern Cape,SUV,Male,67,20,1800,2643,3,8381,1830,0.21835103209640855,1
100029,TPFT,2020-01-29,Western Cape,Bakkie,Female,22,18,1800,3768,3,14914,368,0.02467480219927585,1
100030,TPFT,2020-01-30,Eastern Cape,Sedan,Male,60,18,2000,5406,0,5036,0,0.0,0
100031,COMP,2020-01-31,Free State,Sedan,Male,30,15,1200,6427,0,4055,1002,0.2471023427866831,1
100032,COMP,2020-02-01,KZN,Sedan,Female,52,23,1600,4364,0,7560,3918,0.5182539682539683,1
100033,TPFT,2020-02-02,Western Cape,Sedan,Male,66,3,2500,7768,3,7913,2185,0.2761278908125869,1
100034,TPO,2020-02-03,Western Cape,SUV,Male,42,19,2200,2399,3,12201,4117,0.3374313580854028,1
100035,TPO,2020-02-04,KZN,Hatchback,Male,67,15,1800,2550,3,10984,3990,0.36325564457392573,1
100036,COMP,2020-02-05,KZN,Bakkie,Female,31,16,2000,4411,1,8958,0,0.0,0
100037,TPFT,2020-02-06,KZN,Bakkie,Female,61,22,2000,1082,2,7270,4624,0.6360385144429161,1
100038,COMP,2020-02-07,Western Cape,SUV,Female,63,22,2200,6696,2,8973,1262,0.14064415468628105,1
100039,COMP,2020-02-08,KZN,SUV,Male,43,17,2200,6571,0,7641,0,0.0,0
100040,COMP+,2020-02-09,KZN,SUV,Male,35,1,3000,6122,0,6659,0,0.0,0
100041,COMP+,2020-02-10,Free State,Sedan,Male,37,11,3500,2479,3,7707,621,0.08057609964966914,1
100042,COMP+,2020-02-11,KZN,Sedan,Male,51,6,1200,3920,2,6504,987,0.15175276752767528,1
100043,TPO,2020-02-12,KZN,SUV,Female,24,23,1800,3283,2,14362,4992,0.34758390196351485,1
100044,TPFT,2020-02-13,Free State,Coupe,Male,64,9,1800,7532,1,8722,0,0.0,0
100045,TPFT,2020-02-14,Western Cape,Sedan,Male,27,20,2200,3440,3,7055,1064,0.15081502480510275,1
100046,TPFT,2020-02-15,Gauteng,Sedan,Male,32,16,3500,6760,3,14209,332,0.023365472587796466,1
100047,TPFT,2020-02-16,Western Cape,Bakkie,Female,34,6,2500,2782,2,6839,982,0.14358824389530633,1
100048,COMP+,2020-02-17,Gauteng,Sedan,Female,28,12,3000,7890,2,8559,5618,0.656385091716322,1
